dataset,AutoML4Clust,Autocluster,ML2DAC,cSmartML
dim10-clusters2-instances1500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance1-rep11,0.5362758289320678,0.8638061549076594,0.9840533624970526,0.4062432583747095
dim10-clusters2-instances2000-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance1-rep11,1.0,1.0,1.0,1.0
dim10-clusters2-instances3500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius1-imbalance2-rep1,0.005112456099769,1.0,1.0,0.8107532604442063
dim10-clusters2-instances400-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep4,0.533923288791073,0.9432917997551565,1.0,1.0
dim10-clusters2-instances4500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius3-imbalance1-rep3,0.5040319885863658,0.8918502564785047,0.9849426286734442,0.884644396459876
dim10-clusters2-instances4500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance1-rep11,0.5025909586361617,0.4999998026007354,1.0,0.1790883746239945
dim10-clusters3-instances350-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius3-imbalance2-rep4,0.8510171744286049,0.9917191142730404,0.7582318776857226,-0.0030182198626997
dim10-clusters3-instances3500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius5-imbalance2-rep11,0.636797945017832,0.2843545920202549,0.8220554256044456,0.0034058860691972
dim10-clusters4-instances400-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius1-imbalance2-rep11,0.9265088072644265,1.0,1.0,0.4920913694441583
dim10-clusters4-instances450-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius3-imbalance1-rep2,1.0,0.3126482965928112,1.0,0.5396978104609391
dim11-clusters10-instances200-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius3-imbalance1-rep11,0.0846705311194811,0.8375011036442528,0.0009517238097504,0.04556322578994805
dim11-clusters10-instances2500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance2-rep11,0.6410981853018971,0.8918490428005561,1.0,0.03142378244176788
dim11-clusters10-instances3500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin5-radius3-imbalance2-rep11,0.6604285340138647,0.747746132353962,0.945084481976528,
dim11-clusters11-instances2000-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius3-imbalance1-rep4,0.4690538526986598,0.9855207103099228,0.9409188018938396,0.0869790541182694
dim11-clusters11-instances2500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius3-imbalance2-rep2,0.9436898315027068,0.719914744757183,0.997315114328332,0.1737029193343188
dim11-clusters12-instances200-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep11,0.9062202847635976,0.8456112491084387,0.9806513082544116,0.19271318215906155
dim11-clusters12-instances2500-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius3-imbalance1-rep11,0.9223858152356463,0.7767243737996893,0.9763417184060657,0.1576942040774152
dim11-clusters12-instances300-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep11,0.916189584053908,0.9981823487215651,0.823616756263526,0.3825842069097379
dim11-clusters12-instances400-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius3-imbalance2-rep1,0.9062806618513399,0.0588647717477943,0.8803948003249626,0.48312455959153494
