,dataset,framework,sil,ari,dbs,running_time_min,monitoring_memory
0,dim10-clusters2-instances1500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance1-rep11,Autocluster,0.4973258764095443,0.8638061549076594,0.8895113773364139,1.655,4.949999999999999
1,dim10-clusters2-instances2000-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance1-rep11,Autocluster,0.4312110018866473,1.0,0.980603036867374,3.525,4.97
2,dim10-clusters2-instances3500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius1-imbalance2-rep1,Autocluster,0.5295360202938105,1.0,0.7417783637091969,12.010000000000002,5.244999999999999
3,dim10-clusters2-instances400-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep4,Autocluster,0.4106683946667614,0.9432917997551564,1.3685261638271324,4.47,4.06
4,dim10-clusters2-instances4500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius3-imbalance1-rep3,Autocluster,0.4722850596922502,0.8918502564785047,8.505897556144328,6.805,2.335
5,dim10-clusters2-instances4500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance1-rep11,Autocluster,0.3224091607907872,0.4999998026007354,1.2228715895653428,30.355,4.12
6,dim10-clusters3-instances350-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius3-imbalance2-rep4,Autocluster,0.4467293023187351,0.9917191142730404,0.809127703284919,0.39,4.03
7,dim10-clusters3-instances3500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius5-imbalance2-rep11,Autocluster,0.3362330648745115,0.2843545920202549,3.535602696863031,3.99,4.485
8,dim10-clusters4-instances400-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius1-imbalance2-rep11,Autocluster,0.4133169457894071,1.0,0.9831821965840511,3.495,4.085
9,dim10-clusters4-instances450-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius3-imbalance1-rep2,Autocluster,0.2956065308826056,0.3126482965928112,3.3160914663234813,3.875,4.25
10,dim11-clusters10-instances200-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius3-imbalance1-rep11,Autocluster,0.3425817202641867,0.8375011036442528,1.245779679977722,2.585,3.545
11,dim11-clusters10-instances2500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance2-rep11,Autocluster,0.3634399068720035,0.8918490428005561,1.2017025068601006,22.305,4.095000000000001
12,dim11-clusters10-instances3500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin5-radius3-imbalance2-rep11,Autocluster,0.4682323303246869,0.747746132353962,0.8242283536752121,25.35,4.055
13,dim11-clusters11-instances2000-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius3-imbalance1-rep4,Autocluster,0.4643694453110163,0.9855207103099228,0.9864364224107706,16.545,4.09
14,dim11-clusters11-instances2500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius3-imbalance2-rep2,Autocluster,0.3712102529895135,0.719914744757183,1.8945313744274437,14.18,4.13
