,dataset,framework,sil,ari,dbs,running_time_min,monitoring_memory
0,dim10-clusters2-instances1500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance1-rep11,AutoML4Clust,0.3091215145659427,0.5362758289320678,1.2318908036814455,0.1795,5.51
1,dim10-clusters2-instances2000-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance1-rep11,AutoML4Clust,0.4312110018866473,1.0,0.980603036867374,0.2264999999999999,5.51
2,dim10-clusters2-instances3500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius1-imbalance2-rep1,AutoML4Clust,0.0734636005118248,0.005112456099769,1.6644860202656049,0.53,5.535
3,dim10-clusters2-instances400-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep4,AutoML4Clust,0.3114080747378834,0.533923288791073,1.283915157374223,0.152,5.49
4,dim10-clusters2-instances4500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius3-imbalance1-rep3,AutoML4Clust,0.3247278931205177,0.5040319885863658,1.116010256455798,0.3924999999999999,5.04
5,dim10-clusters2-instances4500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance1-rep11,AutoML4Clust,0.2502492324653522,0.5025909586361617,1.3225456309640018,0.5725,5.475
6,dim10-clusters3-instances350-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius3-imbalance2-rep4,AutoML4Clust,0.4265244894530978,0.8510171744286049,0.9576666696977232,0.1405,5.53
7,dim10-clusters3-instances3500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius5-imbalance2-rep11,AutoML4Clust,0.3536054264014294,0.636797945017832,1.6835357700947744,0.434,5.53
8,dim10-clusters4-instances400-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius1-imbalance2-rep11,AutoML4Clust,0.3858540218507571,0.9265088072644264,1.0582341644857878,0.1149999999999999,5.470000000000001
9,dim10-clusters4-instances450-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius3-imbalance1-rep2,AutoML4Clust,0.5023055889593162,1.0,0.8237052506340488,0.1235,5.51
10,dim11-clusters10-instances200-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius3-imbalance1-rep11,AutoML4Clust,0.337885240373412,0.0846705311194811,1.1977329927458142,0.151,5.470000000000001
11,dim11-clusters10-instances2500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance2-rep11,AutoML4Clust,0.2763198242246948,0.6410981853018971,1.4376781588909209,0.2714999999999999,5.335
12,dim11-clusters10-instances3500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin5-radius3-imbalance2-rep11,AutoML4Clust,0.3040526352780789,0.6604285340138647,1.367775419443738,0.4195,5.465
13,dim11-clusters11-instances2000-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius3-imbalance1-rep4,AutoML4Clust,0.3870190718132136,0.4690538526986598,1.0784361403373226,0.1775,5.505000000000001
14,dim11-clusters11-instances2500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius3-imbalance2-rep2,AutoML4Clust,0.5064774100333448,0.9436898315027068,0.7725482840398168,0.365,5.265
15,dim11-clusters12-instances200-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep11,AutoML4Clust,0.467235266336325,0.9062202847635976,0.861601321409769,0.1305,5.515000000000001
16,dim11-clusters12-instances2500-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius3-imbalance1-rep11,AutoML4Clust,0.4572112221279418,0.9223858152356464,1.0039060912753173,0.4835,5.365
17,dim11-clusters12-instances300-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep11,AutoML4Clust,0.4107849012184685,0.916189584053908,1.2157627941766256,0.1065,5.140000000000001
18,dim11-clusters12-instances400-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius3-imbalance2-rep1,AutoML4Clust,0.4764223202236542,0.90628066185134,0.9062700838763416,0.103,5.484999999999999
19,dim11-clusters13-instances2500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius3-imbalance1-rep11,AutoML4Clust,0.4022116956982873,0.7832868924516596,1.1110989401546858,0.2314999999999999,5.34
20,dim11-clusters13-instances3500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance1-rep11,AutoML4Clust,0.3255552175161116,0.9197855985020872,1.3684693101686018,0.504,5.505000000000001
21,dim18-clusters4-instances2000-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius5-imbalance1-rep11,AutoML4Clust,0.2263952252645234,0.5563492218802508,2.2514268719294246,0.222,5.365
22,dim18-clusters4-instances2250-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin5-radius1-imbalance1-rep11,AutoML4Clust,0.2681832568589696,0.7921567408379484,1.970166464404545,0.5115000000000001,5.38
23,dim18-clusters4-instances2500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance1-rep11,AutoML4Clust,0.3689222421790757,0.5155392755637358,1.3421600599712966,0.509,5.119999999999999
24,dim18-clusters4-instances4000-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius3-imbalance2-rep2,AutoML4Clust,0.1892174263447711,0.4255142811709442,2.3427078739991023,1.018,5.46
25,dim18-clusters4-instances4500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius3-imbalance2-rep2,AutoML4Clust,0.2267636422891339,0.5596327548323111,1.7958681217131072,0.631,5.565
26,dim18-clusters4-instances500-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius5-imbalance1-rep11,AutoML4Clust,0.3827870716960886,0.6447415209149328,1.7894643379048651,0.1195,5.375
27,dim18-clusters5-instances1500-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius5-imbalance2-rep11,AutoML4Clust,0.2799391323464681,0.2636159235258427,2.602774771987632,0.192,5.2
28,dim18-clusters5-instances200-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius5-imbalance1-rep4,AutoML4Clust,0.45797123809967,0.9669085562393256,1.3117071448614284,0.1105,5.25
29,dim18-clusters5-instances2500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep4,AutoML4Clust,0.0445118720967787,0.0567814275159976,2.355459975593714,0.357,5.485
30,dim18-clusters5-instances550-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance1-rep11,AutoML4Clust,0.3587819119599222,0.9215792935982938,1.8968673893857464,0.1215,5.140000000000001
31,dim2-clusters14-instances1500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius3-imbalance2-rep11,AutoML4Clust,0.6190998893186581,0.849645278181927,0.5557388254593882,0.1355,5.265
32,dim2-clusters14-instances2500-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius3-imbalance1-rep11,AutoML4Clust,0.5184295395639604,0.7595890519406386,0.6376100026416734,0.197,5.525
33,dim2-clusters14-instances3500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius1-imbalance2-rep1,AutoML4Clust,0.6785006719237543,0.9141235675204114,0.5860557168766951,0.2625,5.52
34,dim2-clusters14-instances4000-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance2-rep11,AutoML4Clust,0.6191726927978494,0.887815729822307,0.7110933502226617,0.285,5.205
35,dim2-clusters15-instances200-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius5-imbalance1-rep1,AutoML4Clust,0.7234040600964777,0.9393898872280666,0.3995678485642984,0.1085,5.525
36,dim2-clusters15-instances3500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance2-rep11,AutoML4Clust,0.5781679328308649,0.8837930952679073,0.5769018935476427,0.253,5.495
37,dim2-clusters16-instances1750-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius3-imbalance2-rep1,AutoML4Clust,0.6554641194590722,0.9110337731999544,0.4631271310017212,0.1605,5.485
38,dim2-clusters16-instances600-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius3-imbalance2-rep11,AutoML4Clust,0.6365427660027361,0.8894221458356861,0.5120622715908678,0.101,5.335
39,dim2-clusters3-instances2000-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance1-rep11,AutoML4Clust,0.5895166919207855,0.5596687929927385,0.5675000730830158,0.1645,5.33
40,dim2-clusters3-instances4000-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius5-imbalance1-rep11,AutoML4Clust,0.5809013632980159,0.5898954012448723,0.716247562826239,0.299,5.5600000000000005
41,dim2-clusters4-instances2750-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius5-imbalance2-rep11,AutoML4Clust,0.5947090804404345,0.7113013517546608,0.5866576515464732,0.218,5.385
42,dim2-clusters4-instances3500-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius1-imbalance1-rep11,AutoML4Clust,0.6405944603992041,0.8778115648912204,0.4962121223584748,0.208,5.53
43,dim2-clusters4-instances550-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius3-imbalance1-rep4,AutoML4Clust,0.6588216697940901,0.911769066407864,0.4036035898652843,0.1225,5.23
44,dim2-clusters5-instances4500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance2-rep11,AutoML4Clust,0.4264941743297022,0.6103593792654631,0.8872659623824584,0.44,5.525
45,dim2-clusters6-instances1750-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance2-rep11,AutoML4Clust,0.5538427538197863,0.828136475092464,0.6169122116247641,0.153,5.325
46,dim2-clusters6-instances3000-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius1-imbalance2-rep11,AutoML4Clust,0.6468740768760499,0.9249061237074288,0.4718911323887427,0.225,5.495
47,dim3-clusters3-instances1750-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin5-radius3-imbalance2-rep11,AutoML4Clust,0.5973145190698594,0.8094632331222802,0.5659798319059033,0.149,5.275
48,dim3-clusters3-instances1750-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius5-imbalance1-rep1,AutoML4Clust,0.6666253860677069,0.9355946732492296,0.6201534061683577,0.16,5.34
49,dim3-clusters3-instances200-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius5-imbalance1-rep4,AutoML4Clust,0.6590241656381814,0.8564439519306968,0.683797836539531,0.123,5.315
50,dim3-clusters3-instances2000-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin5-radius3-imbalance1-rep11,AutoML4Clust,0.4174934489758093,0.4304707715851302,0.9306743166074372,0.154,5.49
