,dataset,framework,sil,ari,dbs,running_time_min,monitoring_memory
0,dim10-clusters2-instances1500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance1-rep11,ML2DAC,0.5436626345688074,0.9840533624970526,0.7548765138637271,1.335,5.1
1,dim10-clusters2-instances2000-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance1-rep11,ML2DAC,0.4312110018866473,1.0,0.9806030368673736,2.1425,5.105
2,dim10-clusters2-instances3500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius1-imbalance2-rep1,ML2DAC,0.5295360202938105,1.0,0.7417783637091969,0.9285,5.085
3,dim10-clusters2-instances400-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep4,ML2DAC,0.5372582240390193,1.0,0.7262835452686253,0.591,5.09
4,dim10-clusters2-instances4500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius3-imbalance1-rep3,ML2DAC,0.5759719347661706,0.9849426286734442,0.6658507106510547,1.5699999999999998,4.635
5,dim10-clusters2-instances4500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance1-rep11,ML2DAC,0.4131233282289731,1.0,1.0301118965573182,1.1065,5.075
6,dim10-clusters3-instances350-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius3-imbalance2-rep4,ML2DAC,0.3894356543779157,0.7582318776857226,1.4180880000565836,0.5165,5.115
7,dim10-clusters3-instances3500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius5-imbalance2-rep11,ML2DAC,0.2524312971931615,0.8220554256044456,1.617501140256275,1.1629999999999998,5.135
8,dim10-clusters4-instances400-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius1-imbalance2-rep11,ML2DAC,0.4133169457894071,1.0,0.9831821965840514,0.4559999999999999,5.095
9,dim10-clusters4-instances450-overlap1e-06-1e-05-aspectref3-aspectmaxmin1-radius3-imbalance1-rep2,ML2DAC,0.5023055889593162,1.0,0.8237052506340489,0.4995,5.1
10,dim11-clusters10-instances200-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius3-imbalance1-rep11,ML2DAC,0.0019686644704732,0.0009517238097504,0.0588237651424144,0.4645,5.065
11,dim11-clusters10-instances2500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance2-rep11,ML2DAC,0.4446224458258377,1.0,0.8856121782657045,2.1385,5.08
12,dim11-clusters10-instances3500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin5-radius3-imbalance2-rep11,ML2DAC,0.4933045357632376,0.945084481976528,0.775062779983831,0.7305,5.065
13,dim11-clusters11-instances2000-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius3-imbalance1-rep4,ML2DAC,0.4525170437684996,0.9409188018938396,1.0295433133858096,1.462,5.074999999999999
14,dim11-clusters11-instances2500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius3-imbalance2-rep2,ML2DAC,0.5118234878610669,0.997315114328332,0.7189242800205041,1.922,5.015000000000001
15,dim11-clusters12-instances200-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep11,ML2DAC,0.4805149052935601,0.9806513082544116,0.8928763948290445,0.487,5.1
16,dim11-clusters12-instances2500-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius3-imbalance1-rep11,ML2DAC,0.4773809188209299,0.9763417184060657,0.9284913649382568,2.0565,4.98
17,dim11-clusters12-instances300-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius1-imbalance1-rep11,ML2DAC,0.4186030401831552,0.823616756263526,0.977043348937333,0.5205,4.545
18,dim11-clusters12-instances400-overlap1e-06-1e-05-aspectref3-aspectmaxmin3-radius3-imbalance2-rep1,ML2DAC,0.4784389046515573,0.8803948003249626,0.9723365735804156,0.562,5.074999999999999
19,dim11-clusters13-instances2500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius3-imbalance1-rep11,ML2DAC,0.4339542078795944,0.9893835921626308,1.0893121061949338,2.0515,5.0600000000000005
20,dim11-clusters13-instances3500-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius1-imbalance1-rep11,ML2DAC,0.360536261612459,0.9852301118222656,1.078524330842181,0.8334999999999999,3.965
21,dim18-clusters4-instances2000-overlap1e-06-1e-05-aspectref5-aspectmaxmin1-radius5-imbalance1-rep11,ML2DAC,0.411168614478169,0.8936844734279895,1.9345143139898973,2.381,4.605
22,dim18-clusters4-instances2250-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin5-radius1-imbalance1-rep11,ML2DAC,0.3442426987421604,0.9928931268090398,1.143797422931867,1.975,4.605
23,dim18-clusters4-instances2500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius5-imbalance1-rep11,ML2DAC,0.3685822618303561,0.513780834128791,1.3437611388987731,2.9825,4.15
24,dim18-clusters4-instances4000-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin3-radius3-imbalance2-rep2,ML2DAC,0.3833235935929779,0.9977684562783348,0.9834696701907668,1.9795,5.105
25,dim18-clusters4-instances4500-overlap1e-06-1e-05-aspectref1.5-aspectmaxmin1-radius3-imbalance2-rep2,ML2DAC,0.2716108838952686,0.423148764760661,3.2794935872894486,1.829,5.065
26,dim18-clusters4-instances500-overlap1e-06-1e-05-aspectref5-aspectmaxmin5-radius5-imbalance1-rep11,ML2DAC,0.3752987733309225,0.8902665757422961,1.6462100195422795,0.6065,4.615
